instance,RFT,RFE,RFI,RBT,RBE,RBI,SFT,SFE,SFI,SBT,SBE,SBI
100_20_01,39.958506,2.613144,1.542015,38.061855,5.280382,1.088096,3.484528,3.484528,2.037093,3.484528,3.484528,2.798273
100_20_02,32.279840,1.755787,1.390554,32.217495,3.719338,2.783518,4.347127,2.562096,1.401802,4.347127,2.658506,2.041643
100_20_03,21.862184,1.509924,1.816633,23.343596,3.699567,4.624248,3.476031,3.476031,1.783229,3.476031,3.476031,2.702511
100_20_04,29.784240,1.730819,1.539405,30.558593,2.739188,4.673870,2.506672,2.942452,1.327741,3.093812,2.044340,1.861928
100_20_05,35.426954,1.177977,1.218512,36.807302,8.077271,2.622417,6.546100,3.359704,0.742182,6.546100,2.139051,2.238477
100_20_06,27.286746,1.855450,0.829014,32.093879,2.541451,3.766241,5.070621,3.480213,1.588076,5.070621,2.614668,1.500247
100_20_07,41.032235,1.485032,1.353969,40.408402,3.637232,2.745258,3.967809,2.996065,1.445059,3.967809,3.967809,2.392925
100_20_08,31.049790,1.738405,1.343364,31.169693,4.706849,2.115780,2.875604,1.494840,2.027638,2.875604,1.785953,1.940060
100_20_09,22.658464,2.816530,3.694328,23.496806,4.778831,4.922337,3.750369,3.719468,1.557794,3.750369,3.726451,2.630077
100_20_10,35.942808,1.862896,1.614221,37.899748,4.343484,3.236432,2.992751,2.108075,1.097398,3.034030,2.196127,2.168330
100_20_11,28.382086,1.535070,1.812925,32.249550,4.603060,1.215181,2.623322,2.421095,1.623938,2.491428,2.300123,1.862075
100_20_12,32.207861,0.874702,2.751117,34.622449,4.512503,2.025680,2.699594,2.663476,2.005481,2.699594,2.663476,2.005481
100_20_13,38.857676,1.614654,0.481389,41.032712,4.459683,2.057451,5.423366,2.409842,1.232732,5.423366,2.831804,1.883159
100_20_14,40.861570,1.974330,1.448807,41.244149,5.154690,3.782328,3.444605,2.562160,1.546372,3.809206,2.528824,1.869260
100_20_15,28.569893,1.971050,0.716364,28.502372,2.091144,1.453051,3.547050,3.515305,1.532498,3.547050,3.454334,1.747491
100_20_16,26.515348,0.814341,0.658875,27.989290,3.102443,5.079792,2.665612,2.357037,1.591313,2.665612,1.789955,1.699795
100_20_17,34.680451,2.604646,1.350466,35.693068,3.490687,3.017606,2.991333,1.826328,1.203024,2.991333,2.881447,1.915195
100_20_18,27.209744,1.061115,1.464330,28.065841,2.749188,2.153174,2.847889,2.476412,1.713621,2.847889,2.184593,2.445151
100_20_19,38.717057,2.363010,0.703103,38.439082,3.587479,2.202110,3.137003,1.956143,2.735936,3.137003,1.951202,1.604269
100_20_20,34.110643,2.037542,1.286179,33.868799,4.847675,3.544866,3.409525,3.251362,2.386774,3.409525,3.257200,1.660534
100_20_21,26.440634,1.654300,2.582921,27.229914,6.582403,2.693618,4.318625,4.300176,3.891860,4.318625,4.300176,0.887191
100_20_22,25.860245,2.369971,2.540511,27.590693,3.957732,1.834545,4.539061,2.988955,1.514628,4.569559,3.298914,3.282420
100_20_23,31.068185,2.048508,1.375685,32.032941,4.703121,1.743630,2.762325,1.835243,1.547127,2.837341,2.825225,1.889846
100_20_24,36.901458,1.594966,1.670641,39.500654,4.897685,1.962115,3.678197,3.301633,1.501368,3.367170,3.301633,1.995789
100_20_25,39.783686,1.046872,3.368530,38.629491,3.086699,3.372952,4.160104,2.775954,3.261716,4.160104,3.313762,2.708260
100_20_26,25.911717,1.972194,0.947533,26.197243,2.515592,1.643689,3.615883,2.686508,1.144435,3.608553,1.565728,1.338840
100_20_27,40.958753,1.567178,1.408793,41.347177,4.783475,1.341927,3.097819,2.773777,1.739929,3.102785,2.529017,2.053152
100_20_28,32.966721,2.045983,0.968700,33.976526,2.531606,3.012864,2.887184,2.798790,1.189504,2.887184,2.798790,1.436135
100_20_29,26.505363,1.788387,1.205831,26.648251,3.836319,2.377363,5.022158,3.752128,1.588455,5.022158,2.987432,2.466140
100_20_30,35.298796,1.392746,1.033758,34.026826,4.170971,2.781956,3.858526,3.193182,0.965221,3.858526,2.759176,0.939102
50_20_01,39.945372,2.353985,1.632210,41.705476,4.050365,2.755690,3.865276,2.766292,1.893578,3.865276,2.964327,2.758592
50_20_02,31.799013,1.578485,1.811936,31.803431,3.275491,3.314924,3.426596,2.113594,1.392365,3.426596,2.899219,1.965471
50_20_03,42.641855,2.372253,1.458259,42.421363,5.490511,3.191716,4.416506,2.213253,2.599174,4.419780,2.448508,1.813641
50_20_04,35.321485,1.422191,2.300461,35.306924,4.703522,3.412590,3.970043,2.987785,2.328349,3.970043,3.519923,2.301078
50_20_05,52.587178,2.002807,1.690414,53.680811,4.655283,2.754550,5.307877,4.339447,2.342488,5.307877,3.862737,2.235217
50_20_06,41.716982,1.443696,1.611534,41.254840,5.179190,3.954460,4.398897,3.445105,2.178341,4.398897,3.325083,2.771163
50_20_07,46.134404,0.384676,0.692091,46.691934,2.734725,3.514505,4.201886,3.242131,2.001761,4.201662,3.400016,1.772278
50_20_08,45.381112,2.291176,2.493232,47.407650,5.148050,3.920671,4.455876,2.796457,1.623624,4.463057,2.700246,2.942028
50_20_09,33.784351,0.881718,1.766891,35.403093,4.062726,2.889028,4.862324,2.274617,1.436361,4.913453,3.179875,2.407487
50_20_10,42.826989,1.482588,1.723963,41.528851,5.789334,3.932545,4.628660,4.002663,2.184486,4.628660,3.817972,2.613444
50_20_11,39.844849,1.180697,1.610692,40.482354,5.399879,4.371084,5.262347,3.666410,2.670209,5.262347,4.401255,3.624621
50_20_12,50.443849,0.906276,1.903109,53.831808,4.907515,3.047289,3.502238,3.312534,0.657506,3.572055,2.629848,0.638927
50_20_13,37.781157,1.177233,2.389904,38.714875,4.405458,3.498129,4.025735,2.971398,2.422073,4.025735,2.979455,2.330996
50_20_14,45.705093,1.753766,1.208471,45.038055,4.887355,2.797438,4.520666,3.579138,1.737737,4.520666,3.466522,3.256560
50_20_15,49.690161,2.631423,2.416606,49.892971,5.292932,4.401783,4.437597,3.549485,2.249265,4.437597,3.759609,3.615731
50_20_16,38.636998,2.674090,2.724541,39.894442,5.050668,3.201990,4.547182,2.140127,2.166760,4.615389,3.663036,2.221543
50_20_17,35.406295,1.017917,2.688662,34.977189,5.593283,3.496020,4.489410,3.546930,2.872219,4.444182,2.009788,1.934970
50_20_18,39.373414,1.144127,1.135794,38.957681,5.232756,1.991053,5.114939,2.701794,1.691438,5.117735,3.961491,2.478386
50_20_19,46.436913,1.794463,2.633212,47.658127,3.966020,2.570910,5.054156,4.985349,3.235703,5.054156,4.985349,2.757816
50_20_20,41.168906,1.556636,2.720381,40.303091,3.998568,3.477192,4.023988,2.973021,2.315612,4.023988,2.890380,2.796861
50_20_21,37.606839,2.018290,1.706375,39.768009,5.165407,4.924230,5.021766,4.556087,2.377656,5.031186,4.603305,1.493459
50_20_22,38.905388,1.474724,1.779871,37.996036,4.141774,4.270565,4.573472,3.039292,1.599150,4.573472,3.853631,2.382410
50_20_23,40.940279,2.521783,2.957728,43.210233,5.694529,4.162614,5.288472,3.536699,2.355342,5.288472,4.407576,3.224192
50_20_24,44.753310,1.981201,2.568755,45.412410,5.520232,4.258807,5.048121,1.756223,2.739970,5.048121,2.918274,2.460401
50_20_25,44.259482,1.537927,3.065585,44.155619,3.954137,3.483020,4.434065,3.283172,2.578714,4.434065,4.088108,2.710118
50_20_26,48.966167,1.404159,2.144937,50.645691,5.078484,3.927404,5.181427,3.455988,1.956486,5.181427,4.230357,2.035098
50_20_27,27.839283,1.883028,2.197019,30.607520,5.891545,4.312787,5.267539,3.552595,2.121998,5.267539,3.234846,3.136787
50_20_28,38.565442,1.811046,2.258699,39.455209,5.163772,3.939593,5.177451,2.929256,2.117927,5.177451,3.447613,2.238729
50_20_29,36.211833,1.969652,2.669220,36.925706,3.631458,3.114199,4.739212,3.361861,1.974421,4.828659,4.289916,3.571877
50_20_30,37.274535,2.103081,2.553249,37.981135,3.753622,3.096896,3.950408,3.279788,1.725155,3.950408,3.485611,2.689938
